504	838	1342
719	541	1260
227	389	616
214	164	378
851	551	1402
997	129	1126
962	758	1720
780	991	1771
706	777	1483
684	171	855
25	838	863
294	352	646
490	919	1409
641	325	966
817	996	1813
774	193	967
415	325	740
514	286	800
540	896	1436
896	302	1198
915	98	1013
450	958	1408
626	296	922
704	843	1547
479	283	762
3	508	511
510	797	1307
406	942	1348
777	31	808
910	177	1087
258	64	322
227	739	966
734	520	1254
615	180	795
534	428	962
971	554	1525
708	211	919
627	903	1530
602	847	1449
14	185	199
143	340	483
83	306	389
200	317	517
294	822	1116
801	383	1184
390	205	595
462	214	676
386	695	1081
113	899	1012
47	391	438
383	212	595
625	723	1348
142	188	330
278	789	1067
648	702	1350
809	846	1655
977	246	1223
320	818	1138
880	65	945
100	737	837
834	186	1020
376	304	680
49	217	266
885	511	1396
243	838	1081
970	779	1749
459	475	934
782	787	1569
661	907	1568
345	421	766
904	269	1173
955	54	1009
463	919	1382
361	785	1146
539	304	843
402	548	950
708	342	1050
935	445	1380
524	312	836
999	221	1220
172	360	532
754	962	1716
224	8	232
966	244	1210
96	522	618
998	706	1704
782	462	1244
306	425	731
319	882	1201
362	986	1348
746	779	1525
404	624	1028
693	901	1594
505	16	521
656	803	1459
372	76	448
761	760	1521
53	608	661
757	35	792
172	379	551
920	475	1395
286	386	672
190	637	827
616	599	1215
682	536	1218
72	303	375
64	776	840
776	821	1597
67	195	262
813	152	965
271	769	1040
577	346	923
475	942	1417
7	828	835
501	822	1323
45	671	716
14	3	17
303	80	383
803	614	1417
215	489	704
201	473	674
413	157	570
2	769	771
496	454	950
732	967	1699
787	523	1310
457	720	1177
928	85	1013
901	721	1622
122	893	1015
855	416	1271
314	664	978
397	751	1148
176	777	953
91	275	366
376	531	907
204	581	785
306	354	660
881	932	1813
47	151	198
648	787	1435
160	937	1097
697	951	1648
598	434	1032
875	251	1126
328	956	1284
424	457	881
396	987	1383
388	60	448
871	892	1763
222	412	634
550	872	1422
740	327	1067
821	5	826
945	757	1702
14	724	738
56	616	672
693	814	1507
596	578	1174
880	748	1628
633	111	744
148	511	659
207	786	993
37	404	441
490	391	881
767	334	1101
37	870	907
3	117	120
259	908	1167
287	151	438
725	221	946
678	894	1572
697	271	968
822	220	1042
612	187	799
384	899	1283
417	34	451
48	927	975
972	534	1506
846	649	1495
953	578	1531
377	753	1130
386	673	1059
514	961	1475
827	918	1745
9	343	352
27	753	780
233	675	908
784	836	1620
916	672	1588
336	142	478
215	528	743
660	982	1642
905	753	1658
285	1	286
807	118	925
261	644	905
472	582	1054
836	800	1636
225	380	605
28	474	502
571	184	755
302	60	362
562	920	1482
883	469	1352
865	520	1385
220	353	573
178	109	287
280	765	1045
900	121	1021
181	257	438
658	18	676
56	232	288
145	415	560
363	301	664
950	644	1594
541	817	1358
193	739	932
418	142	560
383	402	785
35	575	610
21	123	144
533	90	623
652	164	816
660	409	1069
4	235	239
915	941	1856
516	103	619
375	967	1342
607	343	950
390	967	1357
670	735	1405
750	472	1222
462	800	1262
404	903	1307
248	370	618
67	5	72
345	490	835
729	944	1673
956	912	1868
715	926	1641
101	536	637
346	288	634
488	444	932
359	946	1305
630	386	1016
645	149	794
799	985	1784
152	418	570
962	900	1862
939	170	1109
191	995	1186
56	293	349
490	796	1286
472	856	1328
762	875	1637
631	825	1456
463	131	594
808	898	1706
609	683	1292
286	864	1150
715	532	1247
298	599	897
53	445	498
749	685	1434
166	972	1138
742	229	971
524	68	592
442	43	485
507	746	1253
569	443	1012
324	425	749
780	708	1488
977	848	1825
695	559	1254
215	702	917
370	275	645
535	905	1440
359	484	843
512	66	578
294	266	560
559	138	697
920	545	1465
679	861	1540
325	86	411
920	678	1598
853	506	1359
24	75	99
250	464	714
933	815	1748
788	935	1723
65	885	950
844	71	915
833	32	865
874	252	1126
861	910	1771
237	886	1123
784	804	1588
288	771	1059
480	749	1229
202	169	371
741	211	952
732	772	1504
692	988	1680
842	675	1517
27	388	415
51	304	355
569	990	1559
36	861	897
664	903	1567
512	643	1155
837	542	1379
853	674	1527
297	572	869
83	805	888
883	4	887
112	448	560
978	899	1877
995	221	1216
427	854	1281
145	966	1111
423	942	1365
479	79	558
974	826	1800
176	392	568
125	989	1114
875	628	1503
387	470	857
160	852	1012
6	861	867
293	992	1285
633	641	1274
444	107	551
405	307	712
676	548	1224
753	971	1724
96	402	498
898	596	1494
868	464	1332
813	581	1394
813	806	1619
418	299	717
944	983	1927
522	284	806
626	360	986
673	972	1645
164	708	872
383	42	425
841	55	896
723	761	1484
570	976	1546
348	588	936
75	22	97
498	858	1356
935	633	1568
656	892	1548
296	468	764
139	456	595
633	984	1617
54	825	879
287	93	380
107	339	446
982	984	1966
300	390	690
109	728	837
638	311	949
704	745	1449
93	111	204
541	801	1342
461	14	475
208	424	632
12	824	836
190	331	521
34	563	597
997	357	1354
863	89	952
68	769	837
232	617	849
893	566	1459
817	683	1500
72	236	308
197	802	999
523	261	784
827	882	1709
101	951	1052
760	320	1080
619	519	1138
422	147	569
579	116	695
368	45	413
973	376	1349
995	212	1207
118	154	272
319	798	1117
249	747	996
944	20	964
948	638	1586
197	489	686
251	309	560
343	324	667
875	218	1093
424	757	1181
86	391	477
964	222	1186
953	408	1361
488	971	1459
854	764	1618
113	328	441
699	676	1375
87	652	739
127	641	768
768	722	1490
353	764	1117
458	391	849
373	51	424
299	446	745
447	313	760
501	5	506
375	291	666
758	416	1174
769	613	1382
816	919	1735
204	424	628
196	63	259
768	193	961
183	827	1010
676	424	1100
125	306	431
425	232	657
549	469	1018
881	815	1696
421	445	866
874	622	1496
43	636	679
636	432	1068
194	658	852
979	934	1913
937	388	1325
68	247	315
83	722	805
160	150	310
560	947	1507
505	302	807
270	329	599
843	46	889
789	909	1698
526	216	742
737	263	1000
305	864	1169
947	730	1677
783	217	1000
379	727	1106
606	970	1576
717	741	1458
678	315	993
100	358	458
731	565	1296
582	546	1128
56	928	984
86	331	417
704	52	756
319	818	1137
275	117	392
646	148	794
978	675	1653
367	684	1051
231	406	637
577	90	667
672	942	1614
407	726	1133
475	35	510
728	309	1037
956	964	1920
639	286	925
368	433	801
535	941	1476
718	874	1592
814	723	1537
710	434	1144
358	667	1025
816	951	1767
615	333	948
432	449	881
431	689	1120
939	721	1660
758	100	858
819	629	1448
162	37	199
437	976	1413
838	210	1048
805	746	1551
411	960	1371
351	978	1329
341	175	516
679	978	1657
918	366	1284
159	716	875
397	432	829
350	68	418
689	896	1585
901	356	1257
612	761	1373
761	411	1172
701	768	1469
910	949	1859
93	384	477
40	71	111
369	219	588
668	533	1201
422	426	848
561	973	1534
251	64	315
490	975	1465
11	671	682
406	697	1103
603	490	1093
127	834	961
429	636	1065
467	885	1352
234	280	514
857	728	1585
286	528	814
678	248	926
656	639	1295
327	638	965
534	413	947
447	861	1308
766	7	773
174	605	779
25	955	980
664	543	1207
792	105	897
680	874	1554
140	185	325
185	473	658
603	179	782
969	343	1312
52	931	983
648	787	1435
355	629	984
59	426	485
928	878	1806
841	422	1263
875	769	1644
495	102	597
514	175	689
486	786	1272
246	376	622
467	566	1033
962	666	1628
846	155	1001
406	221	627
772	504	1276
917	455	1372
840	770	1610
504	85	589
1	945	946
174	272	446
884	3	887
977	348	1325
833	267	1100
698	193	891
338	624	962
121	415	536
672	534	1206
608	855	1463
846	428	1274
754	336	1090
563	740	1303
504	493	997
920	579	1499
581	722	1303
185	301	486
191	415	606
66	781	847
445	367	812
260	934	1194
754	99	853
450	859	1309
849	454	1303
169	967	1136
873	533	1406
881	10	891
884	903	1787
404	266	670
985	703	1688
183	354	537
77	821	898
700	571	1271
798	717	1515
146	451	597
244	707	951
590	338	928
338	716	1054
598	811	1409
734	35	769
518	45	563
498	849	1347
760	392	1152
447	592	1039
676	463	1139
524	310	834
162	539	701
334	163	497
476	662	1138
771	22	793
483	978	1461
470	377	847
598	886	1484
850	515	1365
902	151	1053
514	987	1501
765	932	1697
562	735	1297
755	486	1241
587	318	905
311	797	1108
837	877	1714
730	248	978
877	514	1391
458	101	559
280	168	448
508	515	1023
